"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 19:00:42 IST 2025","Fri May 02 19:00:42 IST 2025","184","Default suite","Default test","com.reqres.tests.ReqresApiTests","com.reqres.tests.ReqresApiTests","testGetUserPass","testGetUserPass","Test to verify retrieving information of a single user PASS"
"failed","Fri May 02 19:00:39 IST 2025","Fri May 02 19:00:42 IST 2025","2960","Default suite","Default test","com.reqres.tests.ReqresApiTests","com.reqres.tests.ReqresApiTests","testGetUserFail","testGetUserFail","Test to verify retrieving information of a single user FAIL"
